"TIME","GEO","S_ADJ","AGE","SEX","Value"
"2010Q3","Euro area (15 countries)","Seasonally adjusted data","Total","Total","9.9"
"2010Q4","Euro area (15 countries)","Seasonally adjusted data","Total","Total","9.9"
"2011Q1","Euro area (15 countries)","Seasonally adjusted data","Total","Total","9.8"
"2011Q2","Euro area (15 countries)","Seasonally adjusted data","Total","Total","9.7"
"2011Q3","Euro area (15 countries)","Seasonally adjusted data","Total","Total","10.1"
"2011Q4","Euro area (15 countries)","Seasonally adjusted data","Total","Total","10.4"
"2012Q1","Euro area (15 countries)","Seasonally adjusted data","Total","Total","10.7"
"2012Q2","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.2"
"2012Q3","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.4"
"2012Q4","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.7"
"2013Q1","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.9"
"2013Q2","Euro area (15 countries)","Seasonally adjusted data","Total","Total","12.0"
"2013Q3","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.9"
"2013Q4","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.8"
"2014Q1","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.7"
"2014Q2","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.6"
"2014Q3","Euro area (15 countries)","Seasonally adjusted data","Total","Total","11.5"
"1995Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.9"
"1995Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.8"
"1995Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.0"
"1995Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.0"
"1996Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.1"
"1996Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.1"
"1996Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.1"
"1996Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.1"
"1997Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.2"
"1997Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.1"
"1997Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.0"
"1997Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.9"
"1998Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.8"
"1998Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.7"
"1998Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.5"
"1998Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.3"
"1999Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.0"
"1999Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.8"
"1999Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.5"
"1999Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.3"
"2000Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.1"
"2000Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.8"
"2000Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.5"
"2000Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.3"
"2001Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.0"
"2001Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.0"
"2001Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.0"
"2001Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.1"
"2002Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.2"
"2002Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.4"
"2002Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.5"
"2002Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.6"
"2003Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.8"
"2003Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.8"
"2003Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.8"
"2003Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.9"
"2004Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.0"
"2004Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.0"
"2004Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.1"
"2004Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.1"
"2005Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.1"
"2005Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.1"
"2005Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.0"
"2005Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.9"
"2006Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.7"
"2006Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.4"
"2006Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.2"
"2006Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.0"
"2007Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","7.7"
"2007Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","7.5"
"2007Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","7.5"
"2007Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","7.3"
"2008Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","7.2"
"2008Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","7.4"
"2008Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","7.6"
"2008Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.0"
"2009Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","8.9"
"2009Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.4"
"2009Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.7"
"2009Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.8"
"2010Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.9"
"2010Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.0"
"2010Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.0"
"2010Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.9"
"2011Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.8"
"2011Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","9.8"
"2011Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.1"
"2011Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.4"
"2012Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","10.7"
"2012Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.2"
"2012Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.4"
"2012Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.7"
"2013Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.9"
"2013Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","12.0"
"2013Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.9"
"2013Q4","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.8"
"2014Q1","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.7"
"2014Q2","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.6"
"2014Q3","Euro area (13 countries)","Seasonally adjusted data","Total","Total","11.5"
"1995Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.0"
"1995Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.9"
"1995Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.0"
"1995Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.1"
"1996Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.1"
"1996Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.2"
"1996Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.2"
"1996Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.2"
"1997Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.2"
"1997Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.2"
"1997Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.0"
"1997Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.9"
"1998Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.8"
"1998Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.7"
"1998Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.5"
"1998Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.4"
"1999Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.1"
"1999Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.8"
"1999Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.6"
"1999Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.3"
"2000Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.1"
"2000Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.8"
"2000Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.5"
"2000Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.3"
"2001Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.1"
"2001Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.0"
"2001Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.0"
"2001Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.1"
"2002Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.2"
"2002Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.4"
"2002Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.5"
"2002Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.6"
"2003Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.8"
"2003Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.9"
"2003Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.8"
"2003Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.9"
"2004Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.0"
"2004Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.0"
"2004Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.1"
"2004Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.2"
"2005Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.2"
"2005Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.1"
"2005Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.0"
"2005Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.9"
"2006Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.7"
"2006Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.4"
"2006Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.2"
"2006Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.0"
"2007Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","7.7"
"2007Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","7.5"
"2007Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","7.5"
"2007Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","7.4"
"2008Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","7.3"
"2008Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","7.5"
"2008Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","7.6"
"2008Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.0"
"2009Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","8.9"
"2009Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.4"
"2009Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.7"
"2009Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.9"
"2010Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.9"
"2010Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.0"
"2010Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.0"
"2010Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.9"
"2011Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.8"
"2011Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","9.8"
"2011Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.1"
"2011Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.4"
"2012Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","10.8"
"2012Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.2"
"2012Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.4"
"2012Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.7"
"2013Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.9"
"2013Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","12.0"
"2013Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.9"
"2013Q4","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.9"
"2014Q1","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.7"
"2014Q2","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.6"
"2014Q3","Euro area (12 countries)","Seasonally adjusted data","Total","Total","11.5"
"1995Q1","Belgium","Seasonally adjusted data","Total","Total","9.7"
"1995Q2","Belgium","Seasonally adjusted data","Total","Total","9.6"
"1995Q3","Belgium","Seasonally adjusted data","Total","Total","9.7"
"1995Q4","Belgium","Seasonally adjusted data","Total","Total","9.8"
"1996Q1","Belgium","Seasonally adjusted data","Total","Total","9.9"
"1996Q2","Belgium","Seasonally adjusted data","Total","Total","9.7"
"1996Q3","Belgium","Seasonally adjusted data","Total","Total","9.4"
"1996Q4","Belgium","Seasonally adjusted data","Total","Total","9.2"
"1997Q1","Belgium","Seasonally adjusted data","Total","Total","9.1"
"1997Q2","Belgium","Seasonally adjusted data","Total","Total","9.2"
"1997Q3","Belgium","Seasonally adjusted data","Total","Total","9.3"
"1997Q4","Belgium","Seasonally adjusted data","Total","Total","9.3"
"1998Q1","Belgium","Seasonally adjusted data","Total","Total","9.4"
"1998Q2","Belgium","Seasonally adjusted data","Total","Total","9.4"
"1998Q3","Belgium","Seasonally adjusted data","Total","Total","9.4"
"1998Q4","Belgium","Seasonally adjusted data","Total","Total","9.2"
"1999Q1","Belgium","Seasonally adjusted data","Total","Total","9.0"
"1999Q2","Belgium","Seasonally adjusted data","Total","Total","8.8"
"1999Q3","Belgium","Seasonally adjusted data","Total","Total","8.2"
"1999Q4","Belgium","Seasonally adjusted data","Total","Total","7.7"
"2000Q1","Belgium","Seasonally adjusted data","Total","Total","7.3"
"2000Q2","Belgium","Seasonally adjusted data","Total","Total","6.9"
"2000Q3","Belgium","Seasonally adjusted data","Total","Total","6.9"
"2000Q4","Belgium","Seasonally adjusted data","Total","Total","6.7"
"2001Q1","Belgium","Seasonally adjusted data","Total","Total","6.3"
"2001Q2","Belgium","Seasonally adjusted data","Total","Total","6.7"
"2001Q3","Belgium","Seasonally adjusted data","Total","Total","6.5"
"2001Q4","Belgium","Seasonally adjusted data","Total","Total","7.4"
"2002Q1","Belgium","Seasonally adjusted data","Total","Total","7.3"
"2002Q2","Belgium","Seasonally adjusted data","Total","Total","7.4"
"2002Q3","Belgium","Seasonally adjusted data","Total","Total","7.6"
"2002Q4","Belgium","Seasonally adjusted data","Total","Total","8.0"
"2003Q1","Belgium","Seasonally adjusted data","Total","Total","8.0"
"2003Q2","Belgium","Seasonally adjusted data","Total","Total","8.2"
"2003Q3","Belgium","Seasonally adjusted data","Total","Total","8.1"
"2003Q4","Belgium","Seasonally adjusted data","Total","Total","8.4"
"2004Q1","Belgium","Seasonally adjusted data","Total","Total","8.5"
"2004Q2","Belgium","Seasonally adjusted data","Total","Total","7.7"
"2004Q3","Belgium","Seasonally adjusted data","Total","Total","8.8"
"2004Q4","Belgium","Seasonally adjusted data","Total","Total","8.3"
"2005Q1","Belgium","Seasonally adjusted data","Total","Total","8.3"
"2005Q2","Belgium","Seasonally adjusted data","Total","Total","8.4"
"2005Q3","Belgium","Seasonally adjusted data","Total","Total","8.5"
"2005Q4","Belgium","Seasonally adjusted data","Total","Total","8.4"
"2006Q1","Belgium","Seasonally adjusted data","Total","Total","8.6"
"2006Q2","Belgium","Seasonally adjusted data","Total","Total","8.7"
"2006Q3","Belgium","Seasonally adjusted data","Total","Total","7.7"
"2006Q4","Belgium","Seasonally adjusted data","Total","Total","7.9"
"2007Q1","Belgium","Seasonally adjusted data","Total","Total","7.8"
"2007Q2","Belgium","Seasonally adjusted data","Total","Total","7.8"
"2007Q3","Belgium","Seasonally adjusted data","Total","Total","7.1"
"2007Q4","Belgium","Seasonally adjusted data","Total","Total","7.2"
"2008Q1","Belgium","Seasonally adjusted data","Total","Total","7.1"
"2008Q2","Belgium","Seasonally adjusted data","Total","Total","6.9"
"2008Q3","Belgium","Seasonally adjusted data","Total","Total","7.4"
"2008Q4","Belgium","Seasonally adjusted data","Total","Total","6.9"
"2009Q1","Belgium","Seasonally adjusted data","Total","Total","7.7"
"2009Q2","Belgium","Seasonally adjusted data","Total","Total","7.8"
"2009Q3","Belgium","Seasonally adjusted data","Total","Total","7.9"
"2009Q4","Belgium","Seasonally adjusted data","Total","Total","8.0"
"2010Q1","Belgium","Seasonally adjusted data","Total","Total","8.3"
"2010Q2","Belgium","Seasonally adjusted data","Total","Total","8.5"
"2010Q3","Belgium","Seasonally adjusted data","Total","Total","8.4"
"2010Q4","Belgium","Seasonally adjusted data","Total","Total","7.9"
"2011Q1","Belgium","Seasonally adjusted data","Total","Total","7.1"
"2011Q2","Belgium","Seasonally adjusted data","Total","Total","7.1"
"2011Q3","Belgium","Seasonally adjusted data","Total","Total","7.5"
"2011Q4","Belgium","Seasonally adjusted data","Total","Total","7.3"
"2012Q1","Belgium","Seasonally adjusted data","Total","Total","7.2"
"2012Q2","Belgium","Seasonally adjusted data","Total","Total","7.6"
"2012Q3","Belgium","Seasonally adjusted data","Total","Total","7.6"
"2012Q4","Belgium","Seasonally adjusted data","Total","Total","8.3"
"2013Q1","Belgium","Seasonally adjusted data","Total","Total","8.3"
"2013Q2","Belgium","Seasonally adjusted data","Total","Total","8.4"
"2013Q3","Belgium","Seasonally adjusted data","Total","Total","8.5"
"2013Q4","Belgium","Seasonally adjusted data","Total","Total","8.5"
"2014Q1","Belgium","Seasonally adjusted data","Total","Total","8.4"
"2014Q2","Belgium","Seasonally adjusted data","Total","Total","8.5"
"2014Q3","Belgium","Seasonally adjusted data","Total","Total","8.5"
"1995Q1","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1995Q2","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1995Q3","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1995Q4","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1996Q1","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1996Q2","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1996Q3","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1996Q4","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1997Q1","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1997Q2","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1997Q3","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1997Q4","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1998Q1","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1998Q2","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1998Q3","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1998Q4","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1999Q1","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1999Q2","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1999Q3","Bulgaria","Seasonally adjusted data","Total","Total",":"
"1999Q4","Bulgaria","Seasonally adjusted data","Total","Total",":"
"2000Q1","Bulgaria","Seasonally adjusted data","Total","Total","14.7"
"2000Q2","Bulgaria","Seasonally adjusted data","Total","Total","16.0"
"2000Q3","Bulgaria","Seasonally adjusted data","Total","Total","17.2"
"2000Q4","Bulgaria","Seasonally adjusted data","Total","Total","17.9"
"2001Q1","Bulgaria","Seasonally adjusted data","Total","Total","18.8"
"2001Q2","Bulgaria","Seasonally adjusted data","Total","Total","19.8"
"2001Q3","Bulgaria","Seasonally adjusted data","Total","Total","19.5"
"2001Q4","Bulgaria","Seasonally adjusted data","Total","Total","19.4"
"2002Q1","Bulgaria","Seasonally adjusted data","Total","Total","19.2"
"2002Q2","Bulgaria","Seasonally adjusted data","Total","Total","18.6"
"2002Q3","Bulgaria","Seasonally adjusted data","Total","Total","18.2"
"2002Q4","Bulgaria","Seasonally adjusted data","Total","Total","16.8"
"2003Q1","Bulgaria","Seasonally adjusted data","Total","Total","15.1"
"2003Q2","Bulgaria","Seasonally adjusted data","Total","Total","14.2"
"2003Q3","Bulgaria","Seasonally adjusted data","Total","Total","13.3"
"2003Q4","Bulgaria","Seasonally adjusted data","Total","Total","12.6"
"2004Q1","Bulgaria","Seasonally adjusted data","Total","Total","12.7"
"2004Q2","Bulgaria","Seasonally adjusted data","Total","Total","12.4"
"2004Q3","Bulgaria","Seasonally adjusted data","Total","Total","11.6"
"2004Q4","Bulgaria","Seasonally adjusted data","Total","Total","11.6"
"2005Q1","Bulgaria","Seasonally adjusted data","Total","Total","10.8"
"2005Q2","Bulgaria","Seasonally adjusted data","Total","Total","10.2"
"2005Q3","Bulgaria","Seasonally adjusted data","Total","Total","9.7"
"2005Q4","Bulgaria","Seasonally adjusted data","Total","Total","9.8"
"2006Q1","Bulgaria","Seasonally adjusted data","Total","Total","9.2"
"2006Q2","Bulgaria","Seasonally adjusted data","Total","Total","9.1"
"2006Q3","Bulgaria","Seasonally adjusted data","Total","Total","9.2"
"2006Q4","Bulgaria","Seasonally adjusted data","Total","Total","8.4"
"2007Q1","Bulgaria","Seasonally adjusted data","Total","Total","7.5"
"2007Q2","Bulgaria","Seasonally adjusted data","Total","Total","7.0"
"2007Q3","Bulgaria","Seasonally adjusted data","Total","Total","6.9"
"2007Q4","Bulgaria","Seasonally adjusted data","Total","Total","6.3"
"2008Q1","Bulgaria","Seasonally adjusted data","Total","Total","6.0"
"2008Q2","Bulgaria","Seasonally adjusted data","Total","Total","5.8"
"2008Q3","Bulgaria","Seasonally adjusted data","Total","Total","5.6"
"2008Q4","Bulgaria","Seasonally adjusted data","Total","Total","5.2"
"2009Q1","Bulgaria","Seasonally adjusted data","Total","Total","5.8"
"2009Q2","Bulgaria","Seasonally adjusted data","Total","Total","6.4"
"2009Q3","Bulgaria","Seasonally adjusted data","Total","Total","7.3"
"2009Q4","Bulgaria","Seasonally adjusted data","Total","Total","8.0"
"2010Q1","Bulgaria","Seasonally adjusted data","Total","Total","9.4"
"2010Q2","Bulgaria","Seasonally adjusted data","Total","Total","10.1"
"2010Q3","Bulgaria","Seasonally adjusted data","Total","Total","10.4"
"2010Q4","Bulgaria","Seasonally adjusted data","Total","Total","11.2"
"2011Q1","Bulgaria","Seasonally adjusted data","Total","Total","11.2"
"2011Q2","Bulgaria","Seasonally adjusted data","Total","Total","11.3"
"2011Q3","Bulgaria","Seasonally adjusted data","Total","Total","11.2"
"2011Q4","Bulgaria","Seasonally adjusted data","Total","Total","11.5"
"2012Q1","Bulgaria","Seasonally adjusted data","Total","Total","11.9"
"2012Q2","Bulgaria","Seasonally adjusted data","Total","Total","12.3"
"2012Q3","Bulgaria","Seasonally adjusted data","Total","Total","12.4"
"2012Q4","Bulgaria","Seasonally adjusted data","Total","Total","12.4"
"2013Q1","Bulgaria","Seasonally adjusted data","Total","Total","12.9"
"2013Q2","Bulgaria","Seasonally adjusted data","Total","Total","13.0"
"2013Q3","Bulgaria","Seasonally adjusted data","Total","Total","12.8"
"2013Q4","Bulgaria","Seasonally adjusted data","Total","Total","12.9"
"2014Q1","Bulgaria","Seasonally adjusted data","Total","Total","12.2"
"2014Q2","Bulgaria","Seasonally adjusted data","Total","Total","11.5"
"2014Q3","Bulgaria","Seasonally adjusted data","Total","Total","11.3"
"1995Q1","Czech Republic","Seasonally adjusted data","Total","Total","4.2"
"1995Q2","Czech Republic","Seasonally adjusted data","Total","Total","4.1"
"1995Q3","Czech Republic","Seasonally adjusted data","Total","Total","4.0"
"1995Q4","Czech Republic","Seasonally adjusted data","Total","Total","3.7"
"1996Q1","Czech Republic","Seasonally adjusted data","Total","Total","3.7"
"1996Q2","Czech Republic","Seasonally adjusted data","Total","Total","3.9"
"1996Q3","Czech Republic","Seasonally adjusted data","Total","Total","3.9"
"1996Q4","Czech Republic","Seasonally adjusted data","Total","Total","4.1"
"1997Q1","Czech Republic","Seasonally adjusted data","Total","Total","4.2"
"1997Q2","Czech Republic","Seasonally adjusted data","Total","Total","4.6"
"1997Q3","Czech Republic","Seasonally adjusted data","Total","Total","4.9"
"1997Q4","Czech Republic","Seasonally adjusted data","Total","Total","5.4"
"1998Q1","Czech Republic","Seasonally adjusted data","Total","Total","5.8"
"1998Q2","Czech Republic","Seasonally adjusted data","Total","Total","6.0"
"1998Q3","Czech Republic","Seasonally adjusted data","Total","Total","6.7"
"1998Q4","Czech Republic","Seasonally adjusted data","Total","Total","7.3"
"1999Q1","Czech Republic","Seasonally adjusted data","Total","Total","8.2"
"1999Q2","Czech Republic","Seasonally adjusted data","Total","Total","8.6"
"1999Q3","Czech Republic","Seasonally adjusted data","Total","Total","8.9"
"1999Q4","Czech Republic","Seasonally adjusted data","Total","Total","9.1"
"2000Q1","Czech Republic","Seasonally adjusted data","Total","Total","9.3"
"2000Q2","Czech Republic","Seasonally adjusted data","Total","Total","8.9"
"2000Q3","Czech Republic","Seasonally adjusted data","Total","Total","8.5"
"2000Q4","Czech Republic","Seasonally adjusted data","Total","Total","8.4"
"2001Q1","Czech Republic","Seasonally adjusted data","Total","Total","8.3"
"2001Q2","Czech Republic","Seasonally adjusted data","Total","Total","8.1"
"2001Q3","Czech Republic","Seasonally adjusted data","Total","Total","8.2"
"2001Q4","Czech Republic","Seasonally adjusted data","Total","Total","7.9"
"2002Q1","Czech Republic","Seasonally adjusted data","Total","Total","7.5"
"2002Q2","Czech Republic","Seasonally adjusted data","Total","Total","7.2"
"2002Q3","Czech Republic","Seasonally adjusted data","Total","Total","7.2"
"2002Q4","Czech Republic","Seasonally adjusted data","Total","Total","7.3"
"2003Q1","Czech Republic","Seasonally adjusted data","Total","Total","7.4"
"2003Q2","Czech Republic","Seasonally adjusted data","Total","Total","7.7"
"2003Q3","Czech Republic","Seasonally adjusted data","Total","Total","7.9"
"2003Q4","Czech Republic","Seasonally adjusted data","Total","Total","8.1"
"2004Q1","Czech Republic","Seasonally adjusted data","Total","Total","8.5"
"2004Q2","Czech Republic","Seasonally adjusted data","Total","Total","8.3"
"2004Q3","Czech Republic","Seasonally adjusted data","Total","Total","8.2"
"2004Q4","Czech Republic","Seasonally adjusted data","Total","Total","8.2"
"2005Q1","Czech Republic","Seasonally adjusted data","Total","Total","8.1"
