"TIME","GEO","S_ADJ","AGE","SEX","Value"
"2013Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.9"
"2013Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.9"
"2013Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.8"
"2013Q4","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.7"
"2014Q1","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.5"
"2014Q2","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.3"
"2014Q3","European Union (28 countries)","Seasonally adjusted data","Total","Total","10.1"
"1995Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1995Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1995Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1995Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1996Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1996Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1996Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1996Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1997Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1997Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1997Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1997Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1998Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1998Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1998Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1998Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1999Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1999Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1999Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"1999Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total",":"
"2000Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.2"
"2000Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.0"
"2000Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.9"
"2000Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.7"
"2001Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.6"
"2001Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.6"
"2001Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.7"
"2001Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.8"
"2002Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.9"
"2002Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.0"
"2002Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.1"
"2002Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.1"
"2003Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.1"
"2003Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.1"
"2003Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.1"
"2003Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.1"
"2004Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.2"
"2004Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.2"
"2004Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.2"
"2004Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.2"
"2005Q1","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.1"
"2005Q2","European Union (27 countries)","Seasonally adjusted data","Total","Total","9.1"
"2005Q3","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.9"
"2005Q4","European Union (27 countries)","Seasonally adjusted data","Total","Total","8.8"
