"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value"
"2005Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 092 230.8"
"2006Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 119 613.4"
"2006Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 154 388.1"
"2006Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 172 921.9"
"2006Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 205 105.4"
"2007Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 231 214.5"
"2007Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 250 557.9"
"2007Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 270 463.0"
"2007Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 289 270.8"
"2008Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 308 401.0"
"2008Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 298 932.2"
"2008Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 275 823.4"
"2008Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 213 491.0"
"2009Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 130 010.0"
"2009Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 120 923.5"
"2009Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 129 943.7"
"2009Q4","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 143 841.7"
"2010Q1","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 160 515.5"
"2010Q2","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 192 820.7"
"2010Q3","European Union (28 countries)","Chain linked volumes (2010), million euro","Seasonally adjusted and adjusted data by working days","Gross domestic product at market prices","3 206 276.0"
